gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsResult,kickerId,returnerId,kickBlockerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,passResult,kickLength,kickReturnYardage,playResult,absoluteYardlineNumber
2018090600,366,"(9:20) C.Johnston punts 56 yards to ATL 36, Center-R.Lovato. J.Hardy to ATL 41 for 5 yards (K.Grugier-Hill). PENALTY on PHI-S.Gibson, Unsportsmanlike Conduct, 15 yards, enforced at ATL 41.",1,4,4,PHI,Return,45603.0,42450,,PHI,8,09:20:00,UNSd,PHI 18,-15.0,0,0,,56.0,5.0,36,18
2018090600,872,"(:33) C.Johnston punts 65 yards to end zone, Center-R.Lovato, Touchback.",1,4,18,PHI,Touchback,45603.0,,,PHI,35,00:33:00,,,,0,3,,65.0,,45,45
2018090600,973,"(14:18) M.Bosher punts 49 yards to PHI 40, Center-J.Overbaugh, fair catch by D.Sproles.",2,4,19,ATL,Fair Catch,37267.0,29957,,ATL,11,14:18:00,,,,0,3,,49.0,,49,21
2018090600,1850,"(1:30) C.Johnston punts 58 yards to ATL 11, Center-R.Lovato, downed by PHI-A.Maddox.",2,4,8,PHI,Downed,45603.0,,,PHI,31,01:30:00,,,,3,6,,58.0,,58,79
2018090600,1989,"(:44) M.Bosher punts 57 yards to PHI 17, Center-J.Overbaugh. D.Sproles to PHI 25 for 8 yards (B.Poole). PENALTY on PHI-L.Reynolds, Unnecessary Roughness, 12 yards, enforced at PHI 25.",2,4,8,ATL,Return,37267.0,29957,,ATL,26,00:44:00,UNR,PHI 50,12.0,3,6,,57.0,8.0,61,36
2018090600,2406,"(12:33) C.Johnston punts 38 yards to ATL 20, Center-R.Lovato, fair catch by J.Hardy.",3,4,9,PHI,Fair Catch,45603.0,42450,,PHI,42,12:33:00,,,,3,6,,38.0,,38,68
2018090600,2599,"(10:22) M.Bosher punts 46 yards to PHI 28, Center-J.Overbaugh. D.Sproles to PHI 37 for 9 yards (F.Oluokun).",3,4,16,ATL,Return,37267.0,29957,,ATL,26,10:22:00,,,,3,6,,46.0,9.0,37,36
2018090600,3026,"(2:44) M.Bosher punts 44 yards to PHI 16, Center-J.Overbaugh, downed by ATL-R.Ortiz.",3,4,10,ATL,Downed,37267.0,,,ATL,40,02:44:00,,,,10,6,,44.0,,44,50
2018090600,3225,"(:34) M.Bosher punts 38 yards to PHI 32, Center-J.Overbaugh. T.Sullivan MUFFS catch, touched at PHI 32, RECOVERED by ATL-K.Ishmael at PHI 32. K.Ishmael to PHI 32 for no gain (L.Reynolds).",3,4,6,ATL,Muffed,37267.0,45605,,ATL,30,00:34:00,,,,10,6,,38.0,,38,40
2018090600,3736,"(7:42) C.Johnston punts 46 yards to ATL 33, Center-R.Lovato, out of bounds.",4,4,14,PHI,Out of Bounds,45603.0,,,PHI,21,07:42:00,,,,10,12,,46.0,,46,31
2018090600,3868,"(5:04) M.Bosher punts 52 yards to PHI 19, Center-J.Overbaugh. D.Sproles to PHI 31 for 12 yards (E.Saubert; K.Ishmael). PENALTY on ATL-E.Saubert, Face Mask (15 Yards), 15 yards, enforced at PHI 31.",4,4,14,ATL,Return,37267.0,29957,,ATL,29,05:04:00,FMM,ATL 85,-15.0,10,12,,52.0,12.0,25,81
2018090900,485,"(7:25) (Punt formation) C.Bojorquez punts 46 yards to BAL 26, Center-R.Ferguson. J.Grant to BAL 25 for -1 yards (P.DiMarco).",1,4,14,BUF,Return,46903.0,46532,,BUF,28,07:25:00,,,,7,0,,46.0,-1.0,47,82
2018090900,575,"(6:37) (Punt formation) S.Koch punts 63 yards to BUF 11, Center-M.Cox. J.Kerley to BUF 15 for 4 yards (T.Bowser, C.Clark).",1,4,9,BAL,Return,31018.0,37228,,BAL,26,06:37:00,,,,7,0,,63.0,4.0,59,36
2018090900,674,"(5:43) (Punt formation) C.Bojorquez punts 51 yards to BAL 31, Center-R.Ferguson. J.Grant to BAL 34 for 3 yards (L.Alexander).",1,4,7,BUF,Return,46903.0,46532,,BUF,18,05:43:00,,,,7,0,,51.0,3.0,48,92
2018090900,1136,"(14:21) (Punt formation) C.Bojorquez punts 49 yards to BAL 29, Center-R.Ferguson. J.Grant to BUF 20 for 51 yards (L.Alexander).",2,4,13,BUF,Return,46903.0,46532,,BUF,22,14:21:00,,,,14,0,,49.0,51.0,-2,32
2018090900,1360,"(12:09) (Punt formation) C.Bojorquez punts 50 yards to BAL 29, Center-R.Ferguson. J.Grant to BAL 30 for 1 yard (A.Holmes).",2,4,14,BUF,Return,46903.0,46532,,BUF,21,12:09:00,,,,17,0,,50.0,1.0,49,31
2018090900,1772,"(7:05) (Punt formation) S.Koch punts 44 yards to BUF 16, Center-M.Cox, downed by BAL-C.Clark.",2,4,12,BAL,Downed,31018.0,,,BAL,40,07:05:00,,,,17,0,,44.0,,44,70
2018090900,2097,"(3:01) (Punt formation) C.Bojorquez punts 52 yards to BAL 21, Center-R.Ferguson. J.Grant MUFFS catch, ball out of bounds at BAL 15.",2,4,8,BUF,Muffed,46903.0,46532,,BUF,27,03:01:00,,,,20,0,,58.0,,58,37
2018090900,2616,"(13:57) (Punt formation) C.Bojorquez FUMBLES (Aborted) at BUF 27, and recovers at BUF 14. C.Bojorquez to BUF 14 for no gain (T.Bowser).",3,4,8,BUF,Non-Special Teams Result,,,,BUF,39,13:57:00,,,,26,0,,,,-25,49
2018090900,2996,"(10:10) (Punt formation) C.Bojorquez punts 46 yards to BAL 30, Center-R.Ferguson, out of bounds.",3,4,11,BUF,Out of Bounds,46903.0,,,BUF,24,10:10:00,,,,40,0,,46.0,,46,34
2018090900,3079,"(8:22) (Punt formation) S.Koch punts 46 yards to BUF 31, Center-M.Cox. J.Kerley to BUF 37 for 6 yards (M.Canady).",3,4,17,BAL,Return,31018.0,37228,,BAL,23,08:22:00,,,,40,0,,46.0,6.0,40,87
2018090900,3655,"(14:47) (Punt formation) S.Koch punts 50 yards to BUF 9, Center-M.Cox. M.Murphy to BUF 18 for 9 yards (M.Canady).",4,4,5,BAL,Return,31018.0,42573,,BAL,41,14:47:00,,,,40,3,,50.0,9.0,41,51
2018090900,3851,"(12:05) (Punt formation) C.Bojorquez punts 54 yards to BAL 11, Center-R.Ferguson. J.Grant to BAL 11 for no gain (T.Jones).",4,4,8,BUF,Return,46903.0,46532,,BUF,35,12:05:00,,,,40,3,,54.0,0.0,54,75
