gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsResult,kickerId,kickBlockerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,passResult,playResult,absoluteYardlineNumber
2018090600,2883,"J.Elliott extra point is GOOD, Center-R.Lovato, Holder-C.Johnston.",3,0,0,PHI,Kick Attempt Good,44966.0,,ATL,15,04:37:00,,,,9,6,,0,25
2018090600,3553,"M.Bryant extra point is No Good, Hit Right Upright, Center-J.Overbaugh, Holder-M.Bosher.",4,0,0,ATL,Kick Attempt No Good,27091.0,,PHI,15,09:48:00,,,,10,12,,0,25
2018090900,380,"J.Tucker extra point is GOOD, Center-M.Cox, Holder-S.Koch.",1,0,0,BAL,Kick Attempt Good,39470.0,,BUF,15,08:42:00,,,,6,0,,0,95
2018090900,972,"J.Tucker extra point is GOOD, Center-M.Cox, Holder-S.Koch.",1,0,0,BAL,Kick Attempt Good,39470.0,,BUF,15,01:32:00,,,,13,0,,0,95
2018090900,2757,"J.Tucker extra point is GOOD, Center-M.Cox, Holder-S.Koch.",3,0,0,BAL,Kick Attempt Good,39470.0,,BUF,15,12:28:00,,,,32,0,,0,25
2018090900,2899,"J.Tucker extra point is GOOD, Center-M.Cox, Holder-S.Koch.",3,0,0,BAL,Kick Attempt Good,39470.0,,BUF,15,11:22:00,,,,39,0,,0,25
2018090900,4220,"J.Tucker extra point is GOOD, Center-M.Cox, Holder-S.Koch.",4,0,0,BAL,Kick Attempt Good,39470.0,,BUF,15,03:52:00,,,,46,3,,0,95
2018090901,1254,"C.Boswell extra point is GOOD, Center-K.Canaday, Holder-J.Berry.",2,0,0,PIT,Kick Attempt Good,41953.0,,CLE,15,11:16:00,,,,0,6,,0,25
2018090901,2286,"Z.Gonzalez extra point is GOOD, Center-C.Hughlett, Holder-B.Colquitt.",3,0,0,CLE,Kick Attempt Good,45037.0,,PIT,15,10:05:00,,,,6,7,,0,25
2018090901,2473,"C.Boswell extra point is GOOD, Center-K.Canaday, Holder-J.Berry.",3,0,0,PIT,Kick Attempt Good,41953.0,,CLE,15,08:24:00,,,,7,13,,0,95
2018090901,2708,"C.Boswell extra point is GOOD, Center-K.Canaday, Holder-J.Berry. PENALTY on CLE-L.Ogunjobi, Leverage, 15 yards, enforced between downs.",3,0,0,PIT,Kick Attempt Good,41953.0,,CLE,15,05:23:00,LEV,CLE 65,15.0,7,20,,0,95
2018090901,3799,"Z.Gonzalez extra point is GOOD, Center-C.Hughlett, Holder-B.Colquitt.",4,0,0,CLE,Kick Attempt Good,45037.0,,PIT,15,07:32:00,,,,13,21,,0,95
2018090901,4214,"Z.Gonzalez extra point is GOOD, Center-C.Hughlett, Holder-B.Colquitt.",4,0,0,CLE,Kick Attempt Good,45037.0,,PIT,15,01:58:00,,,,20,21,,0,95
2018090902,1110,"A.Vinatieri extra point is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",2,0,0,IND,Kick Attempt Good,21213.0,,CIN,15,12:02:00,,,,9,3,,0,95
2018090902,1777,"R.Bullock extra point is GOOD, Center-C.Harris, Holder-K.Huber.",2,0,0,CIN,Kick Attempt Good,38691.0,,IND,15,01:44:00,,,,13,9,,0,25
2018090902,2849,"R.Bullock extra point is GOOD, Center-C.Harris, Holder-K.Huber.",3,0,0,CIN,Kick Attempt Good,38691.0,,IND,15,04:09:00,,,,23,16,,0,95
2018090902,3440,"R.Bullock extra point is GOOD, Center-C.Harris, Holder-K.Huber.",4,0,0,CIN,Kick Attempt Good,38691.0,,IND,15,11:07:00,,,,23,23,,0,25
2018090902,4260,"R.Bullock extra point is GOOD, Center-C.Harris, Holder-K.Huber.",4,0,0,CIN,Kick Attempt Good,38691.0,,IND,15,00:24:00,,,,23,33,,0,25
2018090903,1094,"J.Sanders extra point is GOOD, Center-J.Denney, Holder-M.Haack.",2,0,0,MIA,Kick Attempt Good,46298.0,,TEN,15,11:21:00,,,,6,3,,0,95
2018090903,2940,"R.Succop extra point is GOOD, Center-B.Brinkley, Holder-B.Kern.",4,0,0,TEN,Kick Attempt Good,34707.0,,MIA,15,14:17:00,,,,10,9,,0,25
2018090903,2976,"J.Sanders extra point is GOOD, Center-J.Denney, Holder-M.Haack.",4,0,0,MIA,Kick Attempt Good,46298.0,,TEN,15,14:04:00,,,,16,10,,0,95
2018090903,3284,"J.Sanders extra point is GOOD, Center-J.Denney, Holder-M.Haack.",4,0,0,MIA,Kick Attempt Good,46298.0,,TEN,15,10:22:00,,,,23,10,,0,95
